URN	RefSeq_IDs	Ensembl_IDs	Experiment_Type	DMS_Assay_Type	Score_Interpretation	Score_Hypothesis_Evaluation	Timestamp
urn:mavedb:00000055-0-1	Not Found	Not Found	Other	N/A	The score represents the lower value between thiopurine-cytotoxicity and protein stability, indicating overall NUDT15 activity.	Does not fit: The score represents the *minimum* of two different assays, so the interpretation is more complex than a simple gain or loss of function.	2025-04-17 13:47:43
urn:mavedb:00000055-a-1	Not Found	Not Found	DMS	Protein Stability	Scores represent the protein stability of NUDT15 variants, as measured by VAMP-seq.	Fits	2025-04-17 13:47:43
urn:mavedb:00000055-b-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Scores represent the fold change in variant frequency between drug-treated and untreated populations, indicating NUDT15 activity based on thiopurine cytotoxicity.	Fits	2025-04-17 13:47:43
urn:mavedb:00000057-a-1	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate a greater frequency of the mutant after selection, suggesting better function in the absence of GAP and GEF.	Fits	2025-04-17 13:47:47
urn:mavedb:00000057-c-1	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate a greater frequency of the mutant after selection, suggesting better function in the presence of GAP and GEF.	Fits	2025-04-17 13:47:47
urn:mavedb:00000057-d-1	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate a greater frequency of the mutant after selection in the G12V background, suggesting better function in the absence of GAP and GEF.	Fits	2025-04-17 13:47:47
urn:mavedb:00000057-b-1	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate a greater frequency of the mutant after selection, suggesting better function in the presence of GAP but without GEF.	Fits	2025-04-17 13:47:47
urn:mavedb:00000058-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased solubility of the Aβ variant.	Does not fit: Score > 1 -> increased solubility, Score < 1 -> decreased solubility/increased aggregation.	2025-04-17 13:47:47
urn:mavedb:00000059-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the median relative fitness of a p53 variant based on its enrichment/depletion ratio over time.	Fits	2025-04-17 13:47:52
urn:mavedb:00000060-a-1	NP_031401.1	ENSG00000120948	DMS	Yeast Complementation	The score represents the toxicity of a TDP-43 variant in yeast.	Fits	2025-04-17 13:47:52
urn:mavedb:00000060-a-2	NP_031401.1	ENSG00000120948	DMS	Yeast Complementation	The score represents the toxicity of a TDP-43 variant in yeast.	Fits	2025-04-17 13:47:52
urn:mavedb:00000061-c-1	Not Found	Not Found	DMS	Binding Assay	The score represents the relative enrichment of a RAF variant based on its frequency change after 6 hours of selection for RAS binding.	Fits	2025-04-17 13:47:52
urn:mavedb:00000061-h-1	Not Found	Not Found	DMS	Binding Assay	The score represents the relative enrichment of a RAF variant based on its frequency change after 48 hours of selection for RAS binding.	Fits	2025-04-17 13:47:52
urn:mavedb:00000061-i-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased enrichment of the RAF variant, suggesting a stronger interaction with RAS.	Fits	2025-04-17 13:47:56
urn:mavedb:00000061-e-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased enrichment of the RAF variant, suggesting a stronger interaction with RAS.	Fits	2025-04-17 13:47:56
urn:mavedb:00000061-d-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased enrichment of the RAF variant, suggesting a stronger interaction with RAS.	Fits	2025-04-17 13:47:56
urn:mavedb:00000061-a-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased enrichment of the RAF variant, suggesting a stronger interaction with RAS.	Fits	2025-04-17 13:47:56
urn:mavedb:00000061-b-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased enrichment of the RAF variant, suggesting a stronger interaction with RAS.	Fits	2025-04-17 13:47:56
urn:mavedb:00000061-f-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased RAF-RAS interaction at 12 hours.	Fits	2025-04-17 13:48:00
urn:mavedb:00000061-g-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased RAF-RAS interaction at 24 hours.	Fits	2025-04-17 13:48:00
urn:mavedb:00000062-a-1	Not Found	Not Found	DMS	Fluorescence/Luminescence	Higher scores indicate increased protein abundance of CYP2C9 variants.	Fits	2025-04-17 13:48:00
urn:mavedb:00000062-b-1	Not Found	Not Found	DMS	Fluorescence/Luminescence	Higher scores indicate increased protein abundance of CYP2C19 variants.	Fits	2025-04-17 13:48:00
urn:mavedb:00000063-b-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased growth rate of E.coli with mutated dihydrofolate reductase.	Fits	2025-04-17 13:48:00
urn:mavedb:00000063-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate a faster growth rate of E.coli with the mutated DHFR.	Fits	2025-04-17 13:48:05
urn:mavedb:00000064-b-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased growth rate of E.coli with the mutated LamB when maltodextrin is the sole carbon source, relative to wild type and normalized to nonsense and synonymous mutations.	Fits	2025-04-17 13:48:05
urn:mavedb:00000064-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased growth rate of E.coli with the mutated LamB when cultured with phage λ, relative to wild type and normalized to nonsense and synonymous mutations.	Fits	2025-04-17 13:48:05
urn:mavedb:00000065-a-1	Not Found	Not Found	Unknown	N/A	Insufficient information to determine the score interpretation.	Does not fit: Insufficient information to evaluate.	2025-04-17 13:48:05
urn:mavedb:00000066-a-1	Not Found	Not Found	Unknown	N/A	Insufficient information to determine the score interpretation.	Does not fit: Insufficient information to evaluate.	2025-04-17 13:48:05
urn:mavedb:00000067-a-1	Not Found	Not Found	Unknown	N/A	The score represents the effect of a TECR variant.	Does not fit: The interpretation is too vague to evaluate the hypothesis.	2025-04-17 13:48:09
urn:mavedb:00000068-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the normalized log2 ratio of variant counts after and before selection in a TP53 wild-type cell line treated with nutlin-3, indicating the effect of the variant on cell growth/survival under selection.	Fits	2025-04-17 13:48:09
urn:mavedb:00000068-b-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the normalized log2 ratio of variant counts after and before selection in a TP53 null cell line treated with nutlin-3, indicating the effect of the variant on cell growth/survival under selection.	Fits	2025-04-17 13:48:09
urn:mavedb:00000068-c-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the normalized log2 ratio of variant counts after and before selection in a TP53 null cell line treated with etoposide, indicating the effect of the variant on cell growth/survival under selection.	Fits	2025-04-17 13:48:09
urn:mavedb:00000069-a-2	Not Found	Not Found	DMS	Binding Assay	The score represents the normalized log2 enrichment ratio of ACE2 variants with low binding affinity to the SARS-CoV-2 spike protein, serving as a proxy for relative binding and surface display.	Fits	2025-04-17 13:48:09
urn:mavedb:00000069-a-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding affinity to the SARS-CoV-2 spike protein, considering both ACE2 affinity and surface display.	Fits	2025-04-17 13:48:14
urn:mavedb:00000070-a-4	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased fitness of the TEM-1 β-lactamase variant in the presence of ampicillin, relative to wild type.	Fits	2025-04-17 13:48:14
urn:mavedb:00000070-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased fitness of the TEM-1 β-lactamase nucleotide variant in the presence of ampicillin, relative to wild type.	Fits	2025-04-17 13:48:14
urn:mavedb:00000070-a-2	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased fitness of the TEM-1 β-lactamase variant in the presence of ampicillin, relative to wild type.	Fits	2025-04-17 13:48:14
urn:mavedb:00000070-a-3	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased fitness of the TEM-1 β-lactamase nucleotide variant in the presence of ampicillin, relative to wild type.	Fits	2025-04-17 13:48:14
urn:mavedb:00000071-a-1	Not Found	Not Found	DMS	Sorting-based	The score represents the log2 fold change in mutation count after positive selection, indicating the variant's ability to function in the on-target selection system.	Fits	2025-04-17 13:48:19
urn:mavedb:00000071-b-1	Not Found	Not Found	DMS	Sorting-based	The score represents the log2 fold change in mutation count after negative selection, indicating the variant's ability to function in the off-target selection system.	Fits	2025-04-17 13:48:19
urn:mavedb:00000072-a-1	Not Found	Not Found	DMS	Binding Assay	The score represents the change in mutation rate, reflecting the variant's binding affinity to CD64 or anti-human CH2 after heat stress.	Fits	2025-04-17 13:48:19
urn:mavedb:00000073-e-1	Not Found	Not Found	DMS	Enzyme Activity	The score represents the log2 ratio of frequency ratios, indicating the variant's fitness relative to wild-type in the presence of ampicillin.	Fits	2025-04-17 13:48:19
urn:mavedb:00000073-f-1	Not Found	Not Found	DMS	Enzyme Activity	The score represents the log2 ratio of frequency ratios, indicating the variant's fitness relative to wild-type in the presence of cefotaxime.	Fits	2025-04-17 13:48:19
urn:mavedb:00000073-g-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased bacterial growth in the presence of cefotaxime.	Fits	2025-04-17 13:48:23
urn:mavedb:00000073-h-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased bacterial growth in the presence of meropenem.	Fits	2025-04-17 13:48:23
urn:mavedb:00000073-c-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased bacterial growth in the presence of ampicillin.	Fits	2025-04-17 13:48:23
urn:mavedb:00000073-d-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased bacterial growth in the presence of ampicillin.	Fits	2025-04-17 13:48:23
urn:mavedb:00000073-i-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased bacterial growth in the presence of ampicillin.	Fits	2025-04-17 13:48:23
urn:mavedb:00000073-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased fitness of the VIM-2 metallo-β-lactamase variant in the presence of ampicillin.	Fits	2025-04-17 13:48:27
urn:mavedb:00000073-b-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased fitness of the VIM-2 metallo-β-lactamase variant in the presence of ampicillin.	Fits	2025-04-17 13:48:27
urn:mavedb:00000074-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the selection coefficient for each Hsp82 variant, reflecting its impact on yeast growth.	Fits	2025-04-17 13:48:27
urn:mavedb:00000075-a-1	Not Found	Not Found	DMS	Binding Assay	The score represents the site preference for each amino acid at each position in the Zika Virus E protein.	Does not fit: The score represents amino acid preference, not necessarily gain or loss of function relative to wild type.	2025-04-17 13:48:27
urn:mavedb:00000076-d-1	Not Found	Not Found	DMS	Yeast Complementation	The score represents the log2 ratio of variant counts in selective media compared to baseline, indicating the variant's ability to restore growth.	Fits	2025-04-17 13:48:27
urn:mavedb:00000076-e-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant counts in SC -Ura medium compared to SC -Trp medium, indicating the relative growth of each variant under selective pressure.	Fits	2025-04-17 13:48:32
urn:mavedb:00000076-c-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant counts in SMM -Trp -His medium with 5mM 3-aminotriazole compared to SC -Trp medium, indicating the relative growth of each variant under selective pressure.	Fits	2025-04-17 13:48:32
urn:mavedb:00000076-b-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant counts in SMM -Trp -His medium with 10mM 3-aminotriazole compared to SC -Trp medium, indicating the relative growth of each variant under selective pressure.	Fits	2025-04-17 13:48:32
urn:mavedb:00000076-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the log2 ratio of variant counts in SMM -Trp -His medium with 20mM 3-aminotriazole compared to SC -Trp medium, indicating the relative growth of each variant under selective pressure.	Fits	2025-04-17 13:48:32
urn:mavedb:00000077-a-2	Not Found	Not Found	DMS	Binding Assay	The score represents a fitness score calculated from FACS data, reflecting the binding affinity of cohesin variants to dockerin.	Fits	2025-04-17 13:48:32
urn:mavedb:00000077-a-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding affinity of the cohesin domain for dockerin.	Fits	2025-04-17 13:48:36
urn:mavedb:00000077-b-2	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding affinity of the cohesin domain for dockerin.	Fits	2025-04-17 13:48:36
urn:mavedb:00000077-b-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding affinity of the cohesin domain for dockerin.	Fits	2025-04-17 13:48:36
urn:mavedb:00000078-a-1	Not Found	Not Found	DMS	Enzyme Activity	Higher scores indicate increased carboxylation activity of VKOR variants.	Fits	2025-04-17 13:48:36
urn:mavedb:00000078-b-1	Not Found	Not Found	DMS	Protein Stability	Higher scores indicate increased protein stability of VKOR.	Fits	2025-04-17 13:48:36
urn:mavedb:00000079-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores indicate increased protein stability/solubility as measured by GFP intensity after FACS.	Fits	2025-04-17 13:48:41
